"id";"extension";"name";"proto";"des";"return";"params"
"25";"Arrays";"array_intersect";"array array_intersect(array array1, array array2[, array  ...])";"Computes the intersection of arrays";"array";
"26";"Arrays";"array_key_exists";"bool array_key_exists(mixed key, array search)";"Checks if the given key or index exists in the array";"bool";
"27";"Arrays";"array_keys";"array array_keys(array input[, mixed search_value])";"Return all the keys of an array";"array";
"28";"Arrays";"array_map";"array array_map(mixed callback, array arr1[, array ...])";"Applies the callback to the elements of the given arrays";"array";
"29";"Arrays";"array_merge_recursive";"array array_merge_recursive(array array1, array array2[, array ...])";"Merge two or more arrays recursively";"array";
"30";"Arrays";"array_merge";"array array_merge(array array1[, array array2[, array ...]])";"Merge one or more arrays";"array";
"31";"Arrays";"array_multisort";"bool array_multisort(array ar1[, mixed arg[, mixed ...[, array ...]]])";"Sort multiple or multi-dimensional arrays";"bool";
"32";"Arrays";"array_pad";"array array_pad(array input, int pad_size, mixed pad_value)";"Pad array to the specified length with a value";"array";
"33";"Arrays";"array_pop";"mixed array_pop(array array)";"Pop the element off the end of array";"mixed";
"34";"Arrays";"array_push";"int array_push(array array, mixed var[, mixed ...])";"Push one or more elements onto the end of array";"int";
"35";"Arrays";"array_rand";"mixed array_rand(array input[, int num_req])";"Pick one or more random entries out of an array";"mixed";
"36";"Arrays";"array_reduce";"mixed array_reduce(array input, callback function[, int initial])";"Iteratively reduce the array to a single value using a callback function";"mixed";
"37";"Arrays";"array_reverse";"array array_reverse(array array[, bool preserve_keys])";"Return an array with elements in reverse order";"array";
"38";"Arrays";"array_search";"mixed array_search(mixed needle, array haystack[, bool strict])";"Searches the array for a given value and returns the corresponding key if successful";"mixed";
"39";"Arrays";"array_shift";"mixed array_shift(array array)";"Shift an element off the beginning of array";"mixed";
"40";"Arrays";"array_slice";"array array_slice(array array, int offset[, int length])";"Extract a slice of the array";"array";
"41";"Arrays";"array_splice";"array array_splice(array input, int offset[, int length[, array replacement]])";"Remove a portion of the array and replace it with something else";"array";
"42";"Arrays";"array_sum";"mixed array_sum(array array)";"Calculate the sum of values in an array.";"mixed";
"43";"Arrays";"array_udiff_assoc";"array array_udiff_assoc(array array1, array array2[, array  ..., callback data_compare_func])";"Computes the difference of arrays with additional index check. The data is compared by using a callback function.";"array";
"44";"Arrays";"array_udiff_uassoc";"array array_udiff_uassoc(array array1, array array2[, array  ..., callback data_compare_func, callback key_compare_func])";"Computes the difference of arrays with additional index check. The data is compared by using a callback function. The index check is done by a callback function also";"array";
"45";"Arrays";"array_udiff";"array array_udiff(array array1, array array2[, array  ..., callback data_compare_func])";"Computes the difference of arrays by using a callback function for data comparison.";"array";
"46";"Arrays";"array_unique";"array array_unique(array array)";"Removes duplicate values from an array";"array";
"47";"Arrays";"array_unshift";"int array_unshift(array array, mixed var[, mixed])";"Prepend one or more elements to the beginning of an array";"int";
"48";"Arrays";"array_values";"array array_values(array input)";"Return all the values of an array";"array";
"49";"Arrays";"array_walk_recursive";"bool array_walk_recursive(array input, string funcname[, mixed userdata])";"Apply a user function recursively to every member of an array";"bool";
"50";"Arrays";"array_walk";"bool array_walk(array array, callback function[, mixed userdata])";"Apply a user function to every member of an array";"bool";
"51";"Arrays";"array";"array array([mixed ...])";"Create an array";"array";
"52";"Arrays";"arsort";"bool arsort(array array[, int sort_flags])";"Sort an array in reverse order and maintain index association";"bool";
"53";"Arrays";"asort";"bool asort(array array[, int sort_flags])";"Sort an array and maintain index association";"bool";
"54";"Arrays";"compact";"array compact(mixed varname[, mixed ...])";"Create array containing variables and their values";"array";
"55";"Arrays";"count";"int count(mixed var[, int mode])";"Count elements in a variable";"int";
"56";"Arrays";"current";"mixed current(array array)";"Return the current element in an array";"mixed";
"57";"Arrays";"each";"array each(array array)";"Return the current key and value pair from an array and advance the array cursor";"array";
"58";"Arrays";"end";"mixed end(array array)";"Set the internal pointer of an array to its last element";"mixed";
"59";"Arrays";"extract";"int extract(array var_array[, int extract_type[, string prefix]])";"Import variables into the current symbol table from an array";"int";
"60";"Arrays";"in_array";"bool in_array(mixed needle, array haystack[, bool strict])";"Checks if a value exists in an array";"bool";
"61";"Arrays";"key";"mixed key(array array)";"Fetch a key from an associative array";"mixed";
"62";"Arrays";"krsort";"bool krsort(array array[, int sort_flags])";"Sort an array by key in reverse order";"bool";
"63";"Arrays";"ksort";"bool ksort(array array[, int sort_flags])";"Sort an array by key";"bool";
"64";"Arrays";"list";"void list(mixed varname, mixed ...)";"Assign variables as if they were an array";"void";
"65";"Arrays";"natcasesort";"void natcasesort(array array)";"Sort an array using a case insensitive natural order algorithm";"void";
"66";"Arrays";"natsort";"void natsort(array array)";"Sort an array using a natural order algorithm";"void";
"67";"Arrays";"next";"mixed next(array array)";"Advance the internal array pointer of an array";"mixed";
"68";"Arrays";"pos";;"Alias of current";;
"69";"Arrays";"prev";"mixed prev(array array)";"Rewind the internal array pointer";"mixed";
"70";"Arrays";"range";"array range(int low, int high[, int step])";"Create an array containing a range of elements";"array";
"71";"Arrays";"reset";"mixed reset(array array)";"Set the internal pointer of an array to its first element";"mixed";
"72";"Arrays";"rsort";"bool rsort(array array[, int sort_flags])";"Sort an array in reverse order";"bool";
"73";"Arrays";"shuffle";"bool shuffle(array array)";"Shuffle an array";"bool";
"74";"Arrays";"sizeof";;"Alias of count";;
"75";"Arrays";"sort";"bool sort(array array[, int sort_flags])";"Sort an array";"bool";
"76";"Arrays";"uasort";"bool uasort(array array, callback cmp_function)";"Sort an array with a user-defined comparison function and maintain index association";"bool";
"77";"Arrays";"uksort";"bool uksort(array array, callback cmp_function)";"Sort an array by keys using a user-defined comparison function";"bool";
"78";"Arrays";"usort";"bool usort(array array, callback cmp_function)";"Sort an array by values using a user-defined comparison function";"bool";
"79";"Aspell";"aspell_check_raw";"bool aspell_check_raw(int dictionary_link, string word)";"Check a word without changing its case or trying to trim it [deprecated]";"bool";
"80";"Aspell";"aspell_check";"bool aspell_check(int dictionary_link, string word)";"Check a word [deprecated]";"bool";
"81";"Aspell";"aspell_new";"int aspell_new(string master[, string personal])";"Load a new dictionary [deprecated]";"int";
"82";"Aspell";"aspell_suggest";"array aspell_suggest(int dictionary_link, string word)";"Suggest spellings of a word [deprecated]";"array";
"83";"BC math";"bcadd";"string bcadd(string left_operand, string right_operand[, int scale])";"Add two arbitrary precision numbers";"string";
"84";"BC math";"bccomp";"int bccomp(string left_operand, string right_operand[, int scale])";"Compare two arbitrary precision numbers";"int";
"85";"BC math";"bcdiv";"string bcdiv(string left_operand, string right_operand[, int scale])";"Divide two arbitrary precision numbers";"string";
"86";"BC math";"bcmod";"string bcmod(string left_operand, string modulus)";"Get modulus of an arbitrary precision number";"string";
"87";"BC math";"bcmul";"string bcmul(string left_operand, string right_operand[, int scale])";"Multiply two arbitrary precision number";"string";
"88";"BC math";"bcpow";"string bcpow(string x, string y[, int scale])";"Raise an arbitrary precision number to another";"string";
"89";"BC math";"bcpowmod";"string bcpowmod(string x, string y, string modulus[, int scale])";"Raise an arbitrary precision number to another, reduced by a specified modulus.";"string";
"90";"BC math";"bcscale";"bool bcscale(int scale)";"Set default scale parameter for all bc math functions";"bool";
"91";"BC math";"bcsqrt";"string bcsqrt(string operand[, int scale])";"Get the square root of an arbitrary precision number";"string";
"92";"BC math";"bcsub";"string bcsub(string left_operand, string right_operand[, int scale])";"Subtract one arbitrary precision number from another";"string";
"93";"Bzip2";"bzclose";"int bzclose(resource bz)";"Close a bzip2 file pointer";"int";
"94";"Bzip2";"bzcompress";"string bzcompress(string source[, int blocksize[, int workfactor]])";"Compress a string into bzip2 encoded data";"string";
"95";"Bzip2";"bzdecompress";"string bzdecompress(string source[, int small])";"Decompresses bzip2 encoded data";"string";
"96";"Bzip2";"bzerrno";"int bzerrno(resource bz)";"Returns a bzip2 error number";"int";
"97";"Bzip2";"bzerror";"array bzerror(resource bz)";"Returns the bzip2 error number and error string in an array";"array";
"98";"Bzip2";"bzerrstr";"string bzerrstr(resource bz)";"Returns a bzip2 error string";"string";
"99";"Bzip2";"bzflush";"int bzflush(resource bz)";"Force a write of all buffered data";"int";
"100";"Bzip2";"bzopen";"resource bzopen(string filename, string mode)";"Opens a bzip2 compressed file";"resource";
"101";"Bzip2";"bzread";"string bzread(resource bz[, int length])";"Binary safe bzip2 file read";"string";
"102";"Bzip2";"bzwrite";"int bzwrite(resource bz, string data[, int length])";"Binary safe bzip2 file write";"int";
"103";"Calendar";"cal_days_in_month";"int cal_days_in_month(int calendar, int month, int year)";"Return the number of days in a month for a given year and calendar";"int";
"104";"Calendar";"cal_from_jd";"array cal_from_jd(int jd, int calendar)";"Converts from Julian Day Count to a supported calendar";"array";
"105";"Calendar";"cal_info";"array cal_info([int calendar])";"Returns information about a particular calendar";"array";
"106";"Calendar";"cal_to_jd";"int cal_to_jd(int calendar, int month, int day, int year)";"Converts from a supported calendar to Julian Day Count";"int";
"107";"Calendar";"easter_date";"int easter_date([int year])";"Get Unix timestamp for midnight on Easter of a given year";"int";
"108";"Calendar";"easter_days";"int easter_days([int year[, int method]])";"Get number of days after March 21 on which Easter falls for a given year";"int";
"109";"Calendar";"FrenchToJD";"int frenchtojd(int month, int day, int year)";"Converts a date from the French Republican Calendar to a Julian Day Count";"int";
"110";"Calendar";"GregorianToJD";"int gregoriantojd(int month, int day, int year)";"Converts a Gregorian date to Julian Day Count";"int";
"111";"Calendar";"JDDayOfWeek";"mixed jddayofweek(int julianday, int mode)";"Returns the day of the week";"mixed";
"112";"Calendar";"JDMonthName";"string jdmonthname(int julianday, int mode)";"Returns a month name";"string";
"113";"Calendar";"JDToFrench";"string jdtofrench(int juliandaycount)";"Converts a Julian Day Count to the French Republican Calendar";"string";
"114";"Calendar";"JDToGregorian";"string jdtogregorian(int julianday)";"Converts Julian Day Count to Gregorian date";"string";
"115";"Calendar";"jdtojewish";"string jdtojewish(int juliandaycount[, bool hebrew[, int fl]])";"Converts a Julian day count to a Jewish calendar date";"string";
"116";"Calendar";"JDToJulian";"string jdtojulian(int julianday)";"Converts a Julian Day Count to a Julian Calendar Date";"string";
"117";"Calendar";"jdtounix";"int jdtounix(int jday)";"Convert Julian Day to Unix timestamp";"int";
"118";"Calendar";"JewishToJD";"int jewishtojd(int month, int day, int year)";"Converts a date in the Jewish Calendar to Julian Day Count";"int";
"119";"Calendar";"JulianToJD";"int juliantojd(int month, int day, int year)";"Converts a Julian Calendar date to Julian Day Count";"int";
"120";"Calendar";"unixtojd";"int unixtojd([int timestamp])";"Convert Unix timestamp to Julian Day";"int";
"121";"CCVS";"ccvs_add";"string ccvs_add(string session, string invoice, string argtype, string argval)";"Add data to a transaction";"string";
"122";"CCVS";"ccvs_auth";"string ccvs_auth(string session, string invoice)";"Perform credit authorization test on a transaction";"string";
"123";"CCVS";"ccvs_command";"string ccvs_command(string session, string type, string argval)";"Performs a command which is peculiar to a single protocol, and thus is not available in the general CCVS API";"string";
"124";"CCVS";"ccvs_count";"int ccvs_count(string session, string type)";"Find out how many transactions of a given type are stored in the system";"int";
"125";"CCVS";"ccvs_delete";"string ccvs_delete(string session, string invoice)";"Delete a transaction";"string";
"126";"CCVS";"ccvs_done";"string ccvs_done(string sess)";"Terminate CCVS engine and do cleanup work";"string";
"127";"CCVS";"ccvs_init";"string ccvs_init(string name)";"Initialize CCVS for use";"string";
"128";"CCVS";"ccvs_lookup";"string ccvs_lookup(string session, string invoice, int inum)";"Look up an item of a particular type in the database #";"string";
"129";"CCVS";"ccvs_new";"string ccvs_new(string session, string invoice)";"Create a new, blank transaction";"string";
"130";"CCVS";"ccvs_report";"string ccvs_report(string session, string type)";"Return the status of the background communication process";"string";
"131";"CCVS";"ccvs_return";"string ccvs_return(string session, string invoice)";"Transfer funds from the merchant to the credit card holder";"string";
"132";"CCVS";"ccvs_reverse";"string ccvs_reverse(string session, string invoice)";"Perform a full reversal on an already-processed authorization";"string";
"133";"CCVS";"ccvs_sale";"string ccvs_sale(string session, string invoice)";"Transfer funds from the credit card holder to the merchant";"string";
"134";"CCVS";"ccvs_status";"string ccvs_status(string session, string invoice)";"Check the status of an invoice";"string";
"135";"CCVS";"ccvs_textvalue";"string ccvs_textvalue(string session)";"Get text return value for previous function call";"string";
"136";"CCVS";"ccvs_void";"string ccvs_void(string session, string invoice)";"Perform a full reversal on a completed transaction";"string";
"137";"COM";"COM";"object COM::COM(string module_name[, mixed server_name[, int codepage[, string typelib]]])void COM::AddRef()void COM::Release()object COM::All()object COM::Next()object COM::Prev()void COM::Reset()";"COM class";"object";
"138";"COM";"DOTNET";"string DOTNET::DOTNET(string assembly name, string class_name[, int codepage])";"DOTNET class";"string";
"139";"COM";"VARIANT";"object VARIANT::VARIANT([mixed value[, int type[, int codepage]]])";"VARIANT class";"object";
"140";"COM";"com_addref";"void com_addref()";"Increases the components reference counter [deprecated]";"void";
"141";"COM";"com_create_guid";"string com_create_guid()";"Generate a globally unique identifier (GUID)";"string";
"142";"COM";"com_event_sink";"bool com_event_sink(object comobject, object sinkobject[, mixed sinkinterface])";"Connect events from a COM object to a PHP object";"bool";
"143";"COM";"com_get_active_object";"object com_get_active_object(string progid[, int code_page])";"Returns a handle to an already running instance of a COM object";"object";
"144";"COM";"com_isenum";"boolean com_isenum(object com_module)";"Indicates if a COM object has an IEnumVariant interface for iteration [deprecated]";"boolean";
"145";"COM";"com_load_typelib";"bool com_load_typelib(string typelib_name[, int case_insensitive])";"Loads a Typelib";"bool";
"146";"COM";"com_load";"resource com_load(string module_name[, string server_name [, int codepage]])";"Creates a new reference to a COM component [deprecated]";"resource";
"147";"COM";"com_message_pump";"bool com_message_pump([int timeoutms])";"Process COM messages, sleeping for up to timeoutms milliseconds";"bool";
"148";"COM";"com_print_typeinfo";"bool com_print_typeinfo(object comobject, string dispinterface, bool wantsink)";"Print out a PHP class definition for a dispatchable interface";"bool";
"149";"COM";"com_propget";;"Alias of com_get";;
"150";"COM";"com_propput";;"Alias of com_set";;
"151";"COM";"com_propset";;"Alias of com_set";;
"152";"COM";"com_release";"void com_release()";"Decreases the components reference counter [deprecated]";"void";
"153";"COM";"variant_abs";"mixed variant_abs(mixed val)";"Returns the absolute value of a variant";"mixed";
"154";"COM";"variant_add";"mixed variant_add(mixed left, mixed right)";"Adds two variant values together and returns the result";"mixed";
"155";"COM";"variant_and";"mixed variant_and(mixed left, mixed right)";"performs a bitwise AND operation between two variants and returns the result";"mixed";
"156";"COM";"variant_cast";"object variant_cast(object variant, int type)";"Convert a variant into a new variant object of another type";"object";
"157";"COM";"variant_cat";"mixed variant_cat(mixed left, mixed right)";"concatenates two variant values together and returns the result";"mixed";
"158";"COM";"variant_cmp";"int variant_cmp(mixed left, mixed right[, int lcid[, int flags]])";"Compares two variants";"int";
"159";"COM";"variant_date_from_timestamp";"object variant_date_from_timestamp(int timestamp)";"Returns a variant date representation of a unix timestamp";"object";
"160";"COM";"variant_date_to_timestamp";"int variant_date_to_timestamp(object variant)";"Converts a variant date/time value to unix timestamp";"int";
"161";"COM";"variant_div";"mixed variant_div(mixed left, mixed right)";"Returns the result from dividing two variants";"mixed";
"162";"COM";"variant_eqv";"mixed variant_eqv(mixed left, mixed right)";"Performs a bitwise equivalence on two variants";"mixed";
"163";"COM";"variant_fix";"mixed variant_fix(mixed variant)";"Returns the integer portion ? of a variant";"mixed";
"164";"COM";"variant_get_type";"int variant_get_type(object variant)";"Returns the type of a variant object";"int";
"165";"COM";"variant_idiv";"mixed variant_idiv(mixed left, mixed right)";"Converts variants to integers and then returns the result from dividing them";"mixed";
"166";"COM";"variant_imp";"mixed variant_imp(mixed left, mixed right)";"Performs a bitwise implication on two variants";"mixed";
"167";"COM";"variant_int";"mixed variant_int(mixed variant)";"Returns the integer portion of a variant";"mixed";
"168";"COM";"variant_mod";"mixed variant_mod(mixed left, mixed right)";"Divides two variants and returns only the remainder";"mixed";
"169";"COM";"variant_mul";"mixed variant_mul(mixed left, mixed right)";"multiplies the values of the two variants and returns the result";"mixed";
"170";"COM";"variant_neg";"mixed variant_neg(mixed variant)";"Performs logical negation on a variant";"mixed";
"171";"COM";"variant_not";"mixed variant_not(mixed variant)";"Performs bitwise not negation on a variant";"mixed";
"172";"COM";"variant_or";"mixed variant_or(mixed left, mixed right)";"Performs a logical disjunction on two variants";"mixed";
"173";"COM";"variant_pow";"mixed variant_pow(mixed left, mixed right)";"Returns the result of performing the power function with two variants";"mixed";
"174";"COM";"variant_round";"mixed variant_round(mixed variant, int decimals)";"Rounds a variant to the specified number of decimal places";"mixed";
"175";"COM";"variant_set_type";"void variant_set_type(object variant, int type)";"Convert a variant into another type. Variant is modified in-place";"void";
"176";"COM";"variant_set";"void variant_set(object variant, mixed value)";"Assigns a new value for a variant object";"void";
"177";"COM";"variant_sub";"mixed variant_sub(mixed left, mixed right)";"subtracts the value of the right variant from the left variant value and returns the result";"mixed";
"178";"COM";"variant_xor";"mixed variant_xor(mixed left, mixed right)";"Performs a logical exclusion on two variants";"mixed";
"179";"Classes/Objects";"call_user_method_array";"mixed call_user_method_array(string method_name, object obj[, array paramarr])";"Call a user method given with an array of parameters [deprecated]";"mixed";
"180";"Classes/Objects";"call_user_method";"mixed call_user_method(string method_name, object obj[, mixed parameter[, mixed ...]])";"Call a user method on an specific object [deprecated]";"mixed";
"181";"Classes/Objects";"class_exists";"bool class_exists(string class_name)";"Checks if the class has been defined";"bool";
"182";"Classes/Objects";"get_class_vars";"array get_class_vars(string class_name)";"Returns an array of default properties of the class";"array";
"183";"Classes/Objects";"get_class";"string get_class(object obj)";"Returns the name of the class of an object";"string";
"184";"Classes/Objects";"get_declared_classes";"array get_declared_classes()";"Returns an array with the name of the defined classes";"array";
"185";"Classes/Objects";"get_declared_interfaces";"array get_declared_interfaces()";"Returns an array of all declared interfaces.";"array";
"186";"Classes/Objects";"get_object_vars";"array get_object_vars(object obj)";"Returns an associative array of object properties";"array";
"187";"Classes/Objects";"get_parent_class";"string get_parent_class(mixed obj)";"Retrieves the parent class name for object or class";"string";
"188";"Classes/Objects";"is_a";"bool is_a(object object, string class_name)";"Returns TRUE if the object is of this class or has this class as one of its parents";"bool";
"189";"Classes/Objects";"is_subclass_of";"bool is_subclass_of(object object, string class_name)";"Returns TRUE if the object has this class as one of its parents";"bool";
"190";"Classes/Objects";"method_exists";"bool method_exists(object object, string method_name)";"Checks if the class method exists";"bool";
"191";"ClibPDF";"cpdf_add_annotation";"bool cpdf_add_annotation(int pdf_document, float llx, float lly, float urx, float ury, string title, string content[, int mode])";"Adds annotation";"bool";
"192";"ClibPDF";"cpdf_add_outline";"int cpdf_add_outline(int pdf_document, int lastoutline, int sublevel, int open, int pagenr, string text)";"Adds bookmark for current page";"int";
"193";"ClibPDF";"cpdf_arc";"bool cpdf_arc(int pdf_document, float x-coor, float y-coor, float radius, float start, float end[, int mode])";"Draws an arc";"bool";
"194";"ClibPDF";"cpdf_begin_text";"bool cpdf_begin_text(int pdf_document)";"Starts text section";"bool";
"195";"ClibPDF";"cpdf_circle";"bool cpdf_circle(int pdf_document, float x-coor, float y-coor, float radius[, int mode])";"Draw a circle";"bool";
"196";"ClibPDF";"cpdf_clip";"bool cpdf_clip(int pdf_document)";"Clips to current path";"bool";
"197";"ClibPDF";"cpdf_close";"bool cpdf_close(int pdf_document)";"Closes the pdf document";"bool";
"198";"ClibPDF";"cpdf_closepath_fill_stroke";"bool cpdf_closepath_fill_stroke(int pdf_document)";"Close, fill and stroke current path";"bool";
"199";"ClibPDF";"cpdf_closepath_stroke";"bool cpdf_closepath_stroke(int pdf_document)";"Close path and draw line along path";"bool";
"200";"ClibPDF";"cpdf_closepath";"bool cpdf_closepath(int pdf_document)";"Close path";"bool";
"201";"ClibPDF";"cpdf_continue_text";"bool cpdf_continue_text(int pdf_document, string text)";"Output text in next line";"bool";
"202";"ClibPDF";"cpdf_curveto";"bool cpdf_curveto(int pdf_document, float x1, float y1, float x2, float y2, float x3, float y3[, int mode])";"Draws a curve";"bool";
"203";"ClibPDF";"cpdf_end_text";"bool cpdf_end_text(int pdf_document)";"Ends text section";"bool";
"204";"ClibPDF";"cpdf_fill_stroke";"bool cpdf_fill_stroke(int pdf_document)";"Fill and stroke current path";"bool";
"205";"ClibPDF";"cpdf_fill";"bool cpdf_fill(int pdf_document)";"Fill current path";"bool";
"206";"ClibPDF";"cpdf_finalize_page";"bool cpdf_finalize_page(int pdf_document, int page_number)";"Ends page";"bool";
"207";"ClibPDF";"cpdf_finalize";"bool cpdf_finalize(int pdf_document)";"Ends document";"bool";
"208";"ClibPDF";"cpdf_global_set_document_limits";"bool cpdf_global_set_document_limits(int maxpages, int maxfonts, int maximages, int maxannotations, int maxobjects)";"Sets document limits for any pdf document";"bool";
"209";"ClibPDF";"cpdf_import_jpeg";"int cpdf_import_jpeg(int pdf_document, string file_name, float x-coor, float y-coor, float angle, float width, float height, float x-scale, float y-scale, int gsave[, int mode])";"Opens a JPEG image";"int";
"210";"ClibPDF";"cpdf_lineto";"bool cpdf_lineto(int pdf_document, float x-coor, float y-coor[, int mode])";"Draws a line";"bool";
"211";"ClibPDF";"cpdf_moveto";"bool cpdf_moveto(int pdf_document, float x-coor, float y-coor[, int mode])";"Sets current point";"bool";
"212";"ClibPDF";"cpdf_newpath";"bool cpdf_newpath(int pdf_document)";"Starts a new path";"bool";
"213";"ClibPDF";"cpdf_open";"int cpdf_open(int compression[, string filename])";"Opens a new pdf document";"int";
"214";"ClibPDF";"cpdf_output_buffer";"bool cpdf_output_buffer(int pdf_document)";"Outputs the pdf document in memory buffer";"bool";
"215";"ClibPDF";"cpdf_page_init";"bool cpdf_page_init(int pdf_document, int page_number, int orientation, float height, float width[, float unit])";"Starts new page";"bool";
"216";"ClibPDF";"cpdf_place_inline_image";"bool cpdf_place_inline_image(int pdf_document, int image, float x-coor, float y-coor, float angle, float width, float height[, int mode])";"Places an image on the page";"bool";
"217";"ClibPDF";"cpdf_rect";"bool cpdf_rect(int pdf_document, float x-coor, float y-coor, float width, float height[, int mode])";"Draw a rectangle";"bool";
"218";"ClibPDF";"cpdf_restore";"bool cpdf_restore(int pdf_document)";"Restores formerly saved environment";"bool";
"219";"ClibPDF";"cpdf_rlineto";"bool cpdf_rlineto(int pdf_document, float x-coor, float y-coor[, int mode])";"Draws a line";"bool";
"220";"ClibPDF";"cpdf_rmoveto";"bool cpdf_rmoveto(int pdf_document, float x-coor, float y-coor[, int mode])";"Sets current point";"bool";
"221";"ClibPDF";"cpdf_rotate_text";"bool cpdf_rotate_text(int pdfdoc, float angle)";"Sets text rotation angle";"bool";
"222";"ClibPDF";"cpdf_rotate";"bool cpdf_rotate(int pdf_document, float angle)";"Sets rotation";"bool";
"223";"ClibPDF";"cpdf_save_to_file";"bool cpdf_save_to_file(int pdf_document, string filename)";"Writes the pdf document into a file";"bool";
"224";"ClibPDF";"cpdf_save";"bool cpdf_save(int pdf_document)";"Saves current environment";"bool";
"225";"ClibPDF";"cpdf_scale";"bool cpdf_scale(int pdf_document, float x-scale, float y-scale)";"Sets scaling";"bool";
"226";"ClibPDF";"cpdf_set_action_url";"bool cpdf_set_action_url(int pdfdoc, float xll, float yll, float xur, float xur, string url[, int mode])";"Sets hyperlink";"bool";
"227";"ClibPDF";"cpdf_set_char_spacing";"bool cpdf_set_char_spacing(int pdf_document, float space)";"Sets character spacing";"bool";
"228";"ClibPDF";"cpdf_set_creator";"bool cpdf_set_creator(int pdf_document, string creator)";"Sets the creator field in the pdf document";"bool";
"229";"ClibPDF";"cpdf_set_current_page";"bool cpdf_set_current_page(int pdf_document, int page_number)";"Sets current page";"bool";
"230";"ClibPDF";"cpdf_set_font_directories";"bool cpdf_set_font_directories(int pdfdoc, string pfmdir, string pfbdir)";"Sets directories to search when using external fonts";"bool";
"231";"ClibPDF";"cpdf_set_font_map_file";"bool cpdf_set_font_map_file(int pdfdoc, string filename)";"Sets fontname to filename translation map when using external fonts";"bool";
"232";"ClibPDF";"cpdf_set_font";"bool cpdf_set_font(int pdf_document, string font_name, float size, string encoding)";"Select the current font face and size";"bool";
"233";"ClibPDF";"cpdf_set_horiz_scaling";"bool cpdf_set_horiz_scaling(int pdf_document, float scale)";"Sets horizontal scaling of text";"bool";
"234";"ClibPDF";"cpdf_set_keywords";"bool cpdf_set_keywords(int pdf_document, string keywords)";"Sets the keywords field of the pdf document";"bool";
"235";"ClibPDF";"cpdf_set_leading";"bool cpdf_set_leading(int pdf_document, float distance)";"Sets distance between text lines";"bool";
"236";"ClibPDF";"cpdf_set_page_animation";"bool cpdf_set_page_animation(int pdf_document, int transition, float duration)";"Sets duration between pages";"bool";
"237";"ClibPDF";"cpdf_set_subject";"bool cpdf_set_subject(int pdf_document, string subject)";"Sets the subject field of the pdf document";"bool";
"238";"ClibPDF";"cpdf_set_text_matrix";"bool cpdf_set_text_matrix(int pdf_document, array matrix)";"Sets the text matrix";"bool";
"239";"ClibPDF";"cpdf_set_text_pos";"bool cpdf_set_text_pos(int pdf_document, float x-coor, float y-coor[, int mode])";"Sets text position";"bool";
"240";"ClibPDF";"cpdf_set_text_rendering";"bool cpdf_set_text_rendering(int pdf_document, int rendermode)";"Determines how text is rendered";"bool";
